dataset,root,app,workload,sample_index,metric,unit,baseline,post,ratio_post_over_baseline,bpf_stats,samples,workload_seconds,generated_at
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:mmap:ops_s,ops/s,25.4,21.93,0.8633858267716535,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:mmap:ops_total_per_s,ops/s,25.4,21.933333333333334,0.8635170603674541,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:sock:ops_s,ops/s,343.31,225.25,0.6561125513384405,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:sock:ops_total_per_s,ops/s,343.3666666666667,225.26666666666668,0.6560528104067567,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:sockfd:ops_s,ops/s,124516.89,22471.45,0.1804690913819001,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:sockfd:ops_total_per_s,ops/s,124531.83333333333,22468.17727424192,0.18042115556189986,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:sockpair:ops_s,ops/s,39277.98,11973.23,0.30483314060448113,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:sockpair:ops_total_per_s,ops/s,39273.00266311585,11972.651842017924,0.30485705268628005,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:udp:ops_s,ops/s,112615.4,36571.56,0.3247474146519925,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,0,workload:stress:udp:ops_total_per_s,ops/s,112620.1,36572.0,0.32473776883522565,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:eventfd:ops_s,ops/s,66893.71,11681.55,0.17462852635920476,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:eventfd:ops_total_per_s,ops/s,66894.23333333334,11681.666666666666,0.17462890423539246,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:mmap:ops_s,ops/s,26.13,20.23,0.7742058936088787,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:mmap:ops_total_per_s,ops/s,26.133333333333333,20.226591136287905,0.7739767016436698,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:sock:ops_s,ops/s,331.41,245.74,0.7414984460336139,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:sock:ops_total_per_s,ops/s,331.43333333333334,245.76666666666668,0.7415267022025546,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:sockfd:ops_s,ops/s,120710.7,21626.75,0.17916183072420258,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:sockfd:ops_total_per_s,ops/s,120713.46666666666,21627.066666666666,0.17916034775462777,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:sockpair:ops_s,ops/s,39690.21,11698.92,0.2947558100599619,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:sockpair:ops_total_per_s,ops/s,39694.403730846105,11699.402588781946,0.29473682658420847,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:udp:ops_s,ops/s,106264.33,35327.39,0.3324482448625988,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,1,workload:stress:udp:ops_total_per_s,ops/s,106265.5,35328.8,0.33245785320729687,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,2,workload:stress:eventfd:ops_s,ops/s,62934.46,11177.37,0.17760333527927308,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,2,workload:stress:eventfd:ops_total_per_s,ops/s,62935.0,11177.5,0.17760387701596886,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,2,workload:stress:mmap:ops_s,ops/s,26.37,19.96,0.7569207432688662,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,2,workload:stress:mmap:ops_total_per_s,ops/s,26.366666666666667,19.96001332889037,0.7570169404130355,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,2,workload:stress:sock:ops_s,ops/s,381.43,181.61,0.47612930288650607,True,3,30.0,2026-05-25T04:21:56.848145+00:00
