group	benchmark	affected_by_group_symbols	families	control_median_exec_ns	group_median_exec_ns	ratio
treatment-mov	otel_stack_frame_unwind_scan	no		382	397	1.0392670157068062
treatment-ldr-direct-load	trace_event_type_switch_dispatch	no		680	707	1.0397058823529413
treatment-ldp-stp-pair-mem	ldp_stack_pair	yes	LDP/STP	21	22	1.0476190476190477
treatment-mov	ldp_stack_pair	no		21	22	1.0476190476190477
treatment-prfm	ldp_stack_pair	yes	PRFM	21	22	1.0476190476190477
treatment-ldr-wide-load	cilium_socket_lb_service_select	yes	LDR	1037	1091	1.052073288331726
treatment-prfm	tracee_syscall_name_table_lookup	yes	PRFM	344	363	1.055232558139535
treatment-mov	trace_event_type_switch_dispatch	no		680	719	1.0573529411764706
treatment-rev-unary	tracee_syscall_name_table_lookup	no		344	364	1.058139534883721
treatment-csel-cmov	packet_checksum_fold	no		33088	35266	1.0658244680851063
treatment-csel-cmov	bpftrace_comm_key_fnv_hash	no		1656	1773	1.0706521739130435
treatment-ubfm-bextr	simple_packet	no		14	15	1.0714285714285714
treatment-prfm	simple_packet	yes	PRFM	14	15	1.0714285714285714
treatment-extr-rotate	tracee_syscall_name_table_lookup	no		344	372	1.0813953488372092
treatment-ubfm-bextr	tracee_http_method_prefix_detect	no		61	66	1.0819672131147542
treatment-rev-unary	trace_event_type_switch_dispatch	no		680	737	1.0838235294117646
treatment-ldr-wide-load	tracee_syscall_name_table_lookup	yes	LDR	344	384	1.1162790697674418
treatment-prfm	payload_prefix_memcmp_scan	yes	PRFM	287	322	1.1219512195121952
treatment-ldp-stp-pair-mem	sorted_rule_binary_search	no		1943	2305	1.1863098301595472
treatment-extr-rotate	tracee_http_method_prefix_detect	no		61	78	1.278688524590164
treatment-rev-unary	tracee_http_method_prefix_detect	no		61	79	1.2950819672131149
treatment-ldr-wide-load	tracee_http_method_prefix_detect	yes	LDR	61	90	1.4754098360655739
