group	compare_to	benchmark	runtime	affected_by_group_symbols	families	control_median_exec_ns	group_median_exec_ns	ratio
treatment-ldr-wide-load	control-disabled	csel_select64	kernel	yes	LDR	28	17	0.6071428571428571
treatment-ldr-wide-load	control-disabled	flow_5tuple_rss_hash	kernel	no		48	47	0.9791666666666666
treatment-ldr-wide-load	control-disabled	flow_record_field_scan	kernel	no		186	186	1.0
treatment-ldr-wide-load	control-disabled	katran_lb_consistent_hash_select	kernel	yes	LDR	61	60	0.9836065573770492
treatment-ldr-wide-load	control-disabled	ldp_stack_pair	kernel	no		21	21	1.0
treatment-ldr-wide-load	control-disabled	otel_stack_frame_unwind_scan	kernel	yes	LDR	382	380	0.9947643979057592
treatment-ldr-wide-load	control-disabled	packed_header_bitfield_decode	kernel	yes	LDR	937	932	0.9946638207043756
treatment-ldr-wide-load	control-disabled	packet_checksum_fold	kernel	yes	LDR	33088	32982	0.996796421663443
treatment-ldr-wide-load	control-disabled	packet_record_bounds_window	kernel	yes	LDR	343	199	0.5801749271137027
treatment-ldr-wide-load	control-disabled	packet_toeplitz_rss_hash	kernel	no		525	521	0.9923809523809524
